Project: FIRBU_AM
Revision: FIRBU_AM
Flow Start Date: Thu Oct 11 10:04:31 EEST 2012
Flow End Date: Thu Oct 11 10:19:38 EEST 2012

Detailed Results
Point,base-slow-1200mV-85C,base-slow-1200mV-0C,base-fast-1200mV-0C,1-slow-1200mV-85C,1-slow-1200mV-0C,1-fast-1200mV-0C (Best),2-slow-1200mV-85C,2-slow-1200mV-0C,2-fast-1200mV-0C,3-slow-1200mV-85C,3-slow-1200mV-0C,3-fast-1200mV-0C,4-slow-1200mV-85C,4-slow-1200mV-0C,4-fast-1200mV-0C
Clock Removal: 'pllSlowFATUnit|altpll_component|auto_generated|pll1|clk[0]': Per-clock Edge TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,unknown,unknown,unknown
Clock Removal: 'pllSlowFATUnit|altpll_component|auto_generated|pll1|clk[0]': Per-clock Keeper TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,unknown,unknown,unknown
Clock Removal: 'pllSlowFATUnit|altpll_component|auto_generated|pll1|clk[0]': Worst-case Slack,25001.714 ns,25001.548 ns,25000.661 ns,25001.380 ns,25001.250 ns,25000.513 ns,25001.682 ns,25001.528 ns,25000.663 ns,25001.987 ns,25001.805 ns,25000.800 ns,unknown,unknown,unknown
Clock Removal: 'SDTiming|altpll_component|auto_generated|pll1|clk[0]': Per-clock Edge TNS,-1.422 ns,-4.170 ns,-0.049 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,unknown,unknown,unknown
Clock Removal: 'SDTiming|altpll_component|auto_generated|pll1|clk[0]': Per-clock Keeper TNS,-0.624 ns,-1.921 ns,-0.020 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,unknown,unknown,unknown
Clock Removal: 'SDTiming|altpll_component|auto_generated|pll1|clk[0]': Worst-case Slack,-0.174 ns,-0.328 ns,-0.009 ns,0.698 ns,0.519 ns,0.388 ns,0.512 ns,0.346 ns,0.281 ns,0.544 ns,0.373 ns,0.295 ns,unknown,unknown,unknown
Clock Removal: 'SDTiming|altpll_component|auto_generated|pll1|clk[1]': Per-clock Edge TNS,-0.864 ns,-2.549 ns,-0.005 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,-0.072 ns,0.000 ns,unknown,unknown,unknown
Clock Removal: 'SDTiming|altpll_component|auto_generated|pll1|clk[1]': Per-clock Keeper TNS,-0.376 ns,-1.143 ns,-0.002 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,-0.024 ns,0.000 ns,unknown,unknown,unknown
Clock Removal: 'SDTiming|altpll_component|auto_generated|pll1|clk[1]': Worst-case Slack,-0.112 ns,-0.263 ns,-0.001 ns,0.274 ns,0.135 ns,0.191 ns,0.280 ns,0.145 ns,0.156 ns,0.106 ns,-0.024 ns,0.091 ns,unknown,unknown,unknown
Clock Removal: Total Keeper TNS,-1.0 ns,-3.064 ns,-0.022 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,0.0 ns,-0.024 ns,0.0 ns,unknown,unknown,unknown
Clock Setup: 'altera_reserved_tck': Actual Time,10.494 ns,9.468 ns,4.130 ns,9.530 ns,8.566 ns,3.686 ns,11.686 ns,10.823 ns,4.638 ns,12.306 ns,11.400 ns,4.902 ns,unknown,unknown,unknown
Clock Setup: 'altera_reserved_tck': Fmax,95.29 MHz,105.62 MHz,242.13 MHz,104.93 MHz,116.74 MHz,271.3 MHz,85.57 MHz,92.4 MHz,215.61 MHz,81.26 MHz,87.72 MHz,204.0 MHz,unknown,unknown,unknown
Clock Setup: 'altera_reserved_tck': Per-clock Edge TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,unknown,unknown,unknown
Clock Setup: 'altera_reserved_tck': Per-clock Keeper TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,unknown,unknown,unknown
Clock Setup: 'altera_reserved_tck': Restricted Fmax,95.29 MHz,105.62 MHz,242.13 MHz,104.93 MHz,116.74 MHz,250.0 MHz,85.57 MHz,92.4 MHz,215.61 MHz,81.26 MHz,87.72 MHz,204.0 MHz,unknown,unknown,unknown
Clock Setup: 'altera_reserved_tck': Worst-case Slack,44.753 ns,45.266 ns,47.935 ns,45.235 ns,45.717 ns,48.157 ns,44.157 ns,44.589 ns,47.681 ns,43.847 ns,44.300 ns,47.549 ns,unknown,unknown,unknown
Clock Setup: 'CLK': Actual Time,15.773 ns,14.605 ns,6.024 ns,15.795 ns,14.626 ns,6.090 ns,15.394 ns,14.654 ns,5.896 ns,11.888 ns,11.225 ns,4.412 ns,unknown,unknown,unknown
Clock Setup: 'CLK': Fmax,63.4 MHz,68.47 MHz,166.0 MHz,63.31 MHz,68.37 MHz,164.2 MHz,64.96 MHz,68.24 MHz,169.61 MHz,84.12 MHz,89.09 MHz,226.65 MHz,unknown,unknown,unknown
Clock Setup: 'CLK': Per-clock Edge TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,unknown,unknown,unknown
Clock Setup: 'CLK': Per-clock Keeper TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,unknown,unknown,unknown
Clock Setup: 'CLK': Restricted Fmax,63.4 MHz,68.47 MHz,166.0 MHz,63.31 MHz,68.37 MHz,164.2 MHz,64.96 MHz,68.24 MHz,169.61 MHz,84.12 MHz,89.09 MHz,226.65 MHz,unknown,unknown,unknown
Clock Setup: 'CLK': Worst-case Slack,17.113 ns,17.698 ns,21.988 ns,17.102 ns,17.687 ns,21.955 ns,17.303 ns,17.673 ns,22.052 ns,19.056 ns,19.388 ns,22.794 ns,unknown,unknown,unknown
Clock Setup: 'pllSlowFATUnit|altpll_component|auto_generated|pll1|clk[0]': Actual Time,9.374 ns,8.698 ns,4.140 ns,7.732 ns,7.078 ns,3.376 ns,7.584 ns,7.010 ns,3.230 ns,8.258 ns,7.736 ns,3.598 ns,unknown,unknown,unknown
Clock Setup: 'pllSlowFATUnit|altpll_component|auto_generated|pll1|clk[0]': Fmax,106.68 MHz,114.97 MHz,241.55 MHz,129.33 MHz,141.28 MHz,296.21 MHz,131.86 MHz,142.65 MHz,309.6 MHz,121.09 MHz,129.27 MHz,277.93 MHz,unknown,unknown,unknown
Clock Setup: 'pllSlowFATUnit|altpll_component|auto_generated|pll1|clk[0]': Per-clock Edge TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,unknown,unknown,unknown
Clock Setup: 'pllSlowFATUnit|altpll_component|auto_generated|pll1|clk[0]': Per-clock Keeper TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,unknown,unknown,unknown
Clock Setup: 'pllSlowFATUnit|altpll_component|auto_generated|pll1|clk[0]': Restricted Fmax,106.68 MHz,114.97 MHz,241.55 MHz,129.33 MHz,141.28 MHz,296.21 MHz,131.86 MHz,142.65 MHz,309.6 MHz,121.09 MHz,129.27 MHz,277.93 MHz,unknown,unknown,unknown
Clock Setup: 'pllSlowFATUnit|altpll_component|auto_generated|pll1|clk[0]': Worst-case Slack,24995.313 ns,24995.651 ns,24997.930 ns,24996.134 ns,24996.461 ns,24998.312 ns,24996.208 ns,24996.495 ns,24998.385 ns,24995.871 ns,24996.132 ns,24998.201 ns,unknown,unknown,unknown
Clock Setup: 'SDTiming|altpll_component|auto_generated|pll1|clk[0]': Actual Time,17.215 ns,16.289 ns,8.028 ns,19.153 ns,18.426 ns,8.716 ns,19.120 ns,18.339 ns,7.768 ns,19.186 ns,18.359 ns,7.802 ns,unknown,unknown,unknown
Clock Setup: 'SDTiming|altpll_component|auto_generated|pll1|clk[0]': Fmax,58.09 MHz,61.39 MHz,124.56 MHz,52.21 MHz,54.27 MHz,114.73 MHz,52.3 MHz,54.53 MHz,128.73 MHz,52.12 MHz,54.47 MHz,128.17 MHz,unknown,unknown,unknown
Clock Setup: 'SDTiming|altpll_component|auto_generated|pll1|clk[0]': Per-clock Edge TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,unknown,unknown,unknown
Clock Setup: 'SDTiming|altpll_component|auto_generated|pll1|clk[0]': Per-clock Keeper TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,unknown,unknown,unknown
Clock Setup: 'SDTiming|altpll_component|auto_generated|pll1|clk[0]': Restricted Fmax,58.09 MHz,61.39 MHz,124.56 MHz,52.21 MHz,54.27 MHz,114.73 MHz,52.3 MHz,54.53 MHz,128.73 MHz,52.12 MHz,54.47 MHz,128.17 MHz,unknown,unknown,unknown
Clock Setup: 'SDTiming|altpll_component|auto_generated|pll1|clk[0]': Worst-case Slack,46.947 ns,47.297 ns,48.399 ns,45.459 ns,46.110 ns,48.141 ns,46.552 ns,47.023 ns,48.236 ns,47.358 ns,47.764 ns,48.566 ns,unknown,unknown,unknown
Clock Setup: 'SDTiming|altpll_component|auto_generated|pll1|clk[1]': Actual Time,17.235 ns,16.239 ns,8.026 ns,19.290 ns,18.315 ns,8.784 ns,19.037 ns,18.235 ns,7.741 ns,19.044 ns,18.232 ns,7.739 ns,unknown,unknown,unknown
Clock Setup: 'SDTiming|altpll_component|auto_generated|pll1|clk[1]': Fmax,58.02 MHz,61.58 MHz,124.6 MHz,51.84 MHz,54.6 MHz,113.84 MHz,52.53 MHz,54.84 MHz,129.18 MHz,52.51 MHz,54.85 MHz,129.22 MHz,unknown,unknown,unknown
Clock Setup: 'SDTiming|altpll_component|auto_generated|pll1|clk[1]': Per-clock Edge TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,unknown,unknown,unknown
Clock Setup: 'SDTiming|altpll_component|auto_generated|pll1|clk[1]': Per-clock Keeper TNS,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,0.000 ns,unknown,unknown,unknown
Clock Setup: 'SDTiming|altpll_component|auto_generated|pll1|clk[1]': Restricted Fmax,58.02 MHz,61.58 MHz,124.6 MHz,51.84 MHz,54.6 MHz,113.84 MHz,52.53 MHz,54.84 MHz,129.18 MHz,52.51 MHz,54.85 MHz,129.22 MHz,unknown,unknown,unknown
Clock Setup: 'SDTiming|altpll_component|auto_generated|pll1|clk[1]': Worst-case Slack,2.347 ns,2.699 ns,3.887 ns,2.117 ns,2.579 ns,3.790 ns,2.199 ns,2.656 ns,3.839 ns,3.156 ns,3.539 ns,4.223 ns,unknown,unknown,unknown
Clock Setup: 'SDTiming|altpll_component|auto_generated|pll1|clk[2]': Actual Time,13.046 ns,12.200 ns,5.526 ns,12.500 ns,11.704 ns,5.156 ns,14.029 ns,13.127 ns,5.974 ns,10.602 ns,9.772 ns,4.482 ns,unknown,unknown,unknown
